#,Letter,Old name1,Old name2,Name,Opened as a service station,Opened,Electrified,Electrified 550 V,Electrified 6000 V,Deelectrified 6000 V,Electrified 15 kV,Officially completed,Closed for S-Bahn trains,Closed,Deelectrified,Reopened,Reopened for S-Bahn trains,Reopened for regional trains,Reelectrified,Bahn1,Bahn2,Bahn3,Abbreviations1 (old),Abbreviations2 (old),Abbreviations,Latitude,Longitude
153,S,,,Spindlersfeld,,1892-04-01,1929-02-01,,1903-08-15,1906-03-01,,,,,,,,,,Zweigbahn Schöneweide - Spindlersfeld,,,Spf,,BSPF,52.44736,13.56154
154,S,,,Springpfuhl,,1976-12-30,1976-12-30,,,,,,,,,,,,,Außenring,,,Sgp,,BSPH,52.52594,13.53630
155,S,,,Staaken,,1900-08-15,1951-08-03,,,,,,,1980-09-17,,,,,,Lehrter Bahn,,,Sta,,,52.53783,13.14123
156,S,Stahnsdorf Friedhof,,Stahnsdorf,,1913-06-02,1928-07-10,,,,,,,1961-08-13,,,,,,Friedhofsbahn,,,Std,,,52.38959,13.19054
157,S,Stettiner Fernbahnhof,,Stettiner Vorortbahnhof,,1895-12-01,1924-08-08,,,,,,,1936-07-27,,,,,,Stettiner Bahn,,,Stb,,,52.53212,13.38805
158,S,Hennigsdorf Süd,,Stolpe Süd,,1954-06-04,1954-06-04,,,,,,,1961-08-14,,,,,,Kremmener Bahn,,,Sto,,,52.63240,13.21965
159,S,Central-Viehhof,,Storkower Straße,,1881-05-04,1929-02-01,,,,,,,1945-04-01,,1951-07-25,,,,Ringbahn,,,Sto,Cf,BSTO,52.52396,13.46459
160,S,,,Strausberg,,1867-10-01,1948-10-31,,,,,,,,,,,,,Ostbahn,,,St,,BSTV,52.53239,13.83356
161,S,,,Strausberg Nord,,1955-01-01,1956-06-03,,,,,,,,,,,,,Ostbahn,,,Stn,,BSTN,52.59065,13.90870
162,S,,,Strausberg Stadt,,1955-01-01,1956-06-03,,,,,,,,,,,,,Ostbahn,,,Str,,BSTR,52.57765,13.88801
163,S,Spandau,,Stresow,,1846-10-15,1928-08-23,,,,,,,1980-09-19,,1998-12-30,,,,Spandauer Vorortbahn,Hamburger Bahn,,Spd,,BSRW,52.53228,13.20926
164,S,,,Sundgauer Straße,,1934-07-01,1934-07-01,,,,,,,1980-09-18,,1985-02-01,,,,Wannseebahn,,,Sdg,,BSDG,52.43649,13.27370
165,S,,,Südende,,1880-08-15,1929-07-02,1903-06-04,,,,,,1984-01-09,,1995-05-28,,,,Anhalter Bahn,,,Sds,Sd,BSDE,52.44905,13.35389
166,S,Papestraße,,Südkreuz (Ringbahnsteig),,2005-04-05,2005-04-05,,,,,,,,,,,,,Anhalter Bahn,Dresdener Bahn,Ringbahn,,,BSKR,52.47632,13.36440
167,S,Papestraße,,Südkreuz (Vorortbahnsteig),,2004-06-07,2004-06-07,,,,,,,,,,,,,Anhalter Bahn,Dresdener Bahn,Ringbahn,,,BSKV,52.47571,13.36524
168,T,,,Tegel,,1893-10-01,1927-03-16,,,,,,,1984-01-09,,1995-05-28,,,,Kremmener Bahn,,,Tgl,,BTG,52.58850,13.28946
169,T,,,Teltow,,1901-10-01,1951-07-07,,,,,,1961-08-13,,,,,,,Anhalter Bahn,,,Tlo,,,52.38927,13.29963
170,T,,,Teltow Stadt,,2005-02-25,2005-02-25,,,,,,,,,,,,,Anhalter Bahn,,,,,BTLS,52.39715,13.27732
171,T,,,Tempelhof,,1872-01-01,1928-11-06,,,,,,,1980-09-18,,1993-12-17,,,,Ringbahn,,,Tf,,BTHF,52.47104,13.38461
172,T,,,Tiergarten,,1885-01-05,1928-06-11,,,,,,,1994-10-30,,1996-11-11,,,,Stadtbahn,,,TgS,Tg,BTGN,52.51463,13.33648
173,T,Treptow,,Treptower Park,,1875-02-01,1928-11-06,,,,,,,,,,,,,Ringbahn,,,Tw,,BTP,52.49406,13.46151
174,V,,,Velten,,1893-10-01,1927-03-16,,,,,,1983-09-20,,,,,,,Kremmener Bahn,,,Vlt,,,52.68498,13.17206
